Rowid_,VALUE,COUNT,VALUE_1,BPS_CODE,ZONE,BPS_MODEL,BPS_NAME,GROUPID,GROUPMODEL,GROUPNAME,G,GROUPVEG,R,B,RED,GREEN,BLUE
,427,1095487,427,10650,10,1010650,Columbia Plateau Scabland Shrubland,167,167,Low Sage-Scabland Sage-5,255,Shrubland,190,232,0.745090000000000,1.000000000000000,0.909800000000000
,428,8485,428,10700,10,1010700,Rocky Mountain Alpine Dwarf-Shrubland,170,170,Heather Moss-Arctic Willow-5,118,Shrubland,19,92,0.074510000000000,0.462740000000000,0.360780000000000
,429,313535,429,10790,10,1010790,Great Basin Xeric Mixed Sagebrush Shrubland,177,177,Black Sage-Low Sage-3,194,Shrubland,57,207,0.223520000000000,0.760780000000000,0.811760000000000
,430,536117,430,10800,10,1010800,Inter-Mountain Basins Big Sagebrush Shrubland,182,182,Wyoming Big Sage-Rubber Rabbitbrush-4,190,Shrubland,255,232,1.000000000000000,0.745090000000000,0.909800000000000
,431,629713,431,11060,10,1011060,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,205,205,Serviceberry-Common Snowberry-Rocky Mountain Maple-4,68,Shrubland,137,80,0.537250000000000,0.266660000000000,0.313720000000000
,432,845,432,11150,10,1011150,Inter-Mountain Basins Juniper Savanna,212,212,Western Juniper-Utah Juniper-3,112,Conifer,137,68,0.537250000000000,0.439210000000000,0.266660000000000
,433,2974871,433,11230,10,1011230,Columbia Plateau Steppe and Grassland,218,218,Indian Ricegrass-Squirreltail-4,218,Grassland,235,234,0.921560000000000,0.854900000000000,0.917640000000000
,434,590946,434,11240,10,1011240,Columbia Plateau Low Sagebrush Steppe,219,219,Low Sage-Idaho Fescue-3,140,Shrubland,132,173,0.517640000000000,0.549020000000000,0.678430000000000
,435,3606009,435,11250,10,1011250,Inter-Mountain Basins Big Sagebrush Steppe,220,220,Wyoming Big Sage-Wheatgrass-3,115,Shrubland,255,223,1.000000000000000,0.450980000000000,0.874510000000000
,436,9544879,436,11260,10,1011260,Inter-Mountain Basins Montane Sagebrush Steppe,222,222,Mountain Sagebrush-Bluebunch Wheatgrass-Idaho Fescue-4,0,Shrubland,230,169,0.901960000000000,0.000000000000000,0.662740000000000
,437,5863,437,11270,10,1011270,Inter-Mountain Basins Semi-Desert Shrub-Steppe,224,224,Spiny Hopsage-Jointfir-5,158,Shrubland,194,215,0.760780000000000,0.619600000000000,0.843130000000000
,438,228833,438,11340,10,1011340,Columbia Basin Foothill and Canyon Dry Grassland,231,231,Bluebunch Wheatgrass-Sandberg Bluegrass-1,245,Grassland,205,122,0.803920000000000,0.960780000000000,0.478430000000000
,439,64863,439,11350,10,1011350,Inter-Mountain Basins Semi-Desert Grassland,232,232,Indian Ricegrass-Threeawn-1,174,Grassland,185,211,0.725490000000000,0.682350000000000,0.827450000000000
