US_140EVT,CLASSNAME,EVT_FUEL_N,EVT_LF,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS
3486,Texas Saline Coastal Prairie,He Texas Saline Coastal Prairie,Herb,Riparian,Inland Marshes and Prairies,SRM 806: Gulf Coast Salt Marsh,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland
3488,Eastern Great Plains Wet Meadow-Prairie-Marsh,He Eastern Great Plains Wet Meadow-Prairie-Marsh,Herb,Riparian,Depressional Wetland,LF 43: Great Plains Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland
3489,Floridian Highlands Freshwater Marsh Herbaceous,Tr Floridian Highlands Freshwater Marsh,Herb,Riparian,Inland Marshes and Prairies,SRM 819: Freshwater Marsh and Ponds,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland
3490,Gulf and Atlantic Coastal Plain Tidal Marsh Shrubland,Sh Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Shrub,Riparian,Atlantic Coastal Marsh,SRM 818: Florida Salt Marsh,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland
3491,Acadian Salt Marsh and Estuary Systems,He Acadian Salt Marsh and Estuary Systems,Herb,Riparian,Atlantic Coastal Marsh,LF 44: Laurentian-Acadian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland
3492,Great Lakes Coastal Marsh Herbaceous,Sh Great Lakes Coastal Marsh Systems,Herb,Riparian,Inland Marshes and Prairies,LF 44: Laurentian-Acadian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland
3493,Central Interior and Appalachian Herbaceous Wetlands,Sh Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Herb,Riparian,Inland Marshes and Prairies,LF 45: Central Interior and Appalachian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland
3494,Laurentian-Acadian Forested Wetlands,Tr Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Tree,Riparian,Inland Marshes and Prairies,LF 44: Laurentian-Acadian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Mixed evergreen-deciduous open tree canopy
3495,Western Great Plains Depressional Wetland Systems,He Western Great Plains Depressional Wetland Systems,Herb,Riparian,Depressional Wetland,SRM 601: Bluestem Prairie,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland
3497,Central Interior and Appalachian Sparsely Vegetated Systems,Sps Central Interior and Appalachian Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated
