Rowid_,VALUE,COUNT,VALUE_1,CLASSNAME,EVT_FUEL,EVT_FUEL_N,EVT_LF,EVT_GP,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,R,G,B,RED,GREEN,BLUE
,3045,52901243,3045.000000000000000,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,2045.000000000000000,Tr Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Tree,625.000000000000000,Conifer,Douglas-fir-Ponderosa Pine-Lodgepole Pine Forest and Woodland,SAF 210: Interior Douglas-Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0.000000000000000,51.000000000000000,0.000000000000000,0.000000000000000,0.200000000000000,0.000000000000000
,3046,19931816,3046.000000000000000,Northern Rocky Mountain Subalpine Woodland and Parkland,2046.000000000000000,Tr Northern Rocky Mountain Subalpine Woodland and Parkland,Tree,640.000000000000000,Conifer,Subalpine Woodland and Parkland,SAF 208: Whitebark Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,191.000000000000000,255.000000000000000,233.000000000000000,0.749020000000000,1.000000000000000,0.913725000000000
,3047,20524463,3047.000000000000000,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,2047.000000000000000,Tr Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Tree,643.000000000000000,Conifer,Douglas-fir-Grand Fir-White Fir Forest and Woodland,SAF 213: Grand Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,96.000000000000000,255.000000000000000,71.000000000000000,0.376471000000000,1.000000000000000,0.278431000000000
,3048,193772,3048.000000000000000,Northwestern Great Plains Highland White Spruce Woodland,2048.000000000000000,Tr Northwestern Great Plains Highland White Spruce Woodland,Tree,639.000000000000000,Conifer,Spruce-Fir Forest and Woodland,SAF 201: White Spruce,Tree-dominated,Open tree canopy,Evergreen open tree canopy,182.000000000000000,250.000000000000000,227.000000000000000,0.713725000000000,0.980392000000000,0.890196000000000
,3049,2742501,3049.000000000000000,Rocky Mountain Foothill Limber Pine-Juniper Woodland,2049.000000000000000,Tr Rocky Mountain Foothill Limber Pine-Juniper Woodland,Tree,621.000000000000000,Conifer,Limber Pine Woodland,SAF 219: Limber Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,174.000000000000000,245.000000000000000,224.000000000000000,0.682353000000000,0.960784000000000,0.878431000000000
,3050,29284152,3050.000000000000000,Rocky Mountain Lodgepole Pine Forest,2050.000000000000000,Tr Rocky Mountain Lodgepole Pine Forest,Tree,622.000000000000000,Conifer,Lodgepole Pine Forest and Woodland,SAF 218: Lodgepole Pine,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,163.000000000000000,240.000000000000000,219.000000000000000,0.639216000000000,0.941176000000000,0.858824000000000
,3051,15465275,3051.000000000000000,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,2051.000000000000000,Tr Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Tree,625.000000000000000,Conifer,Douglas-fir-Ponderosa Pine-Lodgepole Pine Forest and Woodland,SAF 210: Interior Douglas-Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0.000000000000000,51.000000000000000,0.000000000000000,0.000000000000000,0.200000000000000,0.000000000000000
,3052,10959883,3052.000000000000000,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,2052.000000000000000,Tr Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Tree,643.000000000000000,Conifer,Douglas-fir-Grand Fir-White Fir Forest and Woodland,SAF 211: White Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0.000000000000000,204.000000000000000,0.000000000000000,0.000000000000000,0.800000000000000,0.000000000000000
,3053,29105551,3053.000000000000000,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,2053.000000000000000,Tr Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,Tree,631.000000000000000,Conifer,"Ponderosa Pine Forest, Woodland and Savanna",SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,214.000000000000000,255.000000000000000,181.000000000000000,0.839216000000000,1.000000000000000,0.709804000000000
,3054,44062645,3054.000000000000000,Southern Rocky Mountain Ponderosa Pine Woodland,2054.000000000000000,Tr Southern Rocky Mountain Ponderosa Pine Woodland,Tree,631.000000000000000,Conifer,"Ponderosa Pine Forest, Woodland and Savanna",SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,214.000000000000000,255.000000000000000,181.000000000000000,0.839216000000000,1.000000000000000,0.709804000000000
